city;state;date_time;shape
NEW PRAGUE;MN;16/03/2019 05:00;light
Green Bay;WI;16/03/2019 05:00;flash
Batavia;IL;16/03/2019 09:10;cigar
Davenport;IA;16/03/2019 05:00;circle
Frisco;TX;16/03/2019 15:50;triangle
Las Vegas;NV;16/03/2019 16:00;unknown
Independence;MO;16/03/2019 16:40;chevron
Manahawkin;NJ;16/03/2019 20:00;triangle
Peoria;AZ;16/03/2019 20:30;light
Virginia Beach;VA;16/03/2019 20:45;circle
Virginia Beach;VA;16/03/2019 20:45;circle
Cranston;RI;16/03/2019 20:50;sphere
Boylston;MA;16/03/2019 21:00;diamond
Flint;TX;16/03/2019 21:10;fireball
Atkinson;NH;16/03/2019 22:00;other
Lawrenceville;IL;16/03/2019 22:05;diamond
Sabdy Springs;GA;16/03/2019 22:29;triangle
Tigard;OR;17/03/2019 01:00;changing
Northbrook;IL;17/03/2019 04:25;
Seattle;WA;17/03/2019 05:20;oval
Emmett;ID;17/03/2019 11:00;other
Ethridge;TN;17/03/2019 12:05;changing
West College Corner;IN;17/03/2019 13:30;sphere
Goffstown;NH;17/03/2019 15:53;
Carson City;NV;17/03/2019 16:00;oval
Donnybrook;;17/03/2019 23:00;unknown
Newington;CT;17/03/2019 22:54;
Concord;NH;17/03/2019 23:01;
Philadelphia;PA;18/03/2019 05:00;triangle
Fontana;CA;18/03/2019 05:10;oval
Greene;IA;18/03/2019 11:00;cylinder
Port Republic;NJ;18/03/2019 11:54;sphere
Garden Grove;CA;18/03/2019 16:00;sphere
Palmyra;PA;19/03/2019 02:00;unknown
Las Vegas;NV;18/03/2019 17:22;unknown
Ocean Springs;MS;19/03/2019 09:00;sphere
New Brunswick;NB;19/03/2019 11:00;disk
Green Valley;AZ;19/03/2019 19:30;formation
Gilroy;CA;19/03/2019 21:00;light
San Diego;CA;19/03/2019 21:00;triangle
Gardner;MA;19/03/2019 21:30;rectangle
Mankato;MN;19/03/2019 21:40;triangle
Newmarket;ON;19/03/2019 22:00;chevron
Hobart;WA;19/03/2019 23:00;light
;;20/03/2019 00:00;
Chester Springs;PA;20/03/2019 18:45;other
Vancouver;WA;20/03/2019 22:21;fireball
Wright;AR;20/03/2019 23:00;disk
Turners Falls;MA;21/03/2019 04:30;light
Alabama;AL;18/06/1996 17:30;fireball
Salmon River;ID;03/07/1996 23:00;light
Tucson;AZ;15/07/1996 23:00;other
Pueblo;CO;01/08/1996 17:00;triangle
Fort Wayne;IN;18/08/1996 23:00;sphere
Bloomsburg;PA;26/11/1996 09:00;teardrop
Mesa;AZ;28/02/1997 23:00;triangle
Arizona;AZ;09/03/1997 01:00;triangle
Las Vegas;NV;10/03/1997 22:00;light
Phoenix;AZ;13/03/1997 18:40;chevron
Black Canyon City;AZ;13/03/1997 20:15;chevron
Phoenix;AZ;13/03/1997 20:20;triangle
Tampa;FL;18/04/1997 23:59;triangle
Liverpool (UK/England);;01/06/1997 13:00;disk
Eden Prairie;MN;15/06/1997 16:00;circle
Arizona;AZ;07/07/1997 00:00;triangle
Spa-Francorchamps (Belgium);;30/07/1997 04:00;triangle
Oregon;OR;01/10/1997 08:00;rectangle
Poole, Dorset (UK/England);;08/01/1998 22:00;fireball
Cebu City (Philippines);;01/03/1998 20:00;other
Malabar;FL;07/03/1998 08:00;triangle
Sebastian Inlet;FL;07/03/1998 18:45;light
San Antonio;TX;21/03/1998 22:30;formation
Norfolk;MA;20/05/1998 03:15;other
Victoria;BC;01/06/1998 17:00;light
New Rochelle;NY;01/06/1998 20:00;light
Tampa;FL;06/06/1998 21:30;light
Indianola;IA;30/06/1998 02:00;diamond
Portland;ME;05/07/1998 21:00;triangle
New Rochelle;NY;10/07/1998 15:00;cigar
Albuquerque;NM;15/07/1998 01:30;fireball
Clearfield;IA;20/07/1998 21:00;sphere
Hampton;NH;13/08/1998 03:00;circle
Comerio (Puerto Rico);;19/09/1998 19:00;egg
Asheville;NC;12/10/1998 19:00;light
Boca Grande;FL;18/12/1998 22:00;disk
Farwell;TX;15/06/1999 22:00;light
Bay Point;CA;22/07/1999 20:00;other
Dayton;OH;28/07/1999 21:30;other
Lethbrdge;AB;08/08/1999 03:00;unknown
Point Arena;CA;21/12/1999 03:00;
